accountNumber,accountName,address1,address2,city,countryName,zipCode,state,countryCode,parentAccount
FERGUSON_M,FERGUSON ENTERPRISE MASTER,12500 JEFFERSON AVENUE,,NEWPORT NEWS,23602,VA,UNITED STATES,US,
1000373306,FERGUSON ENTERPRISE LLC,12500 JEFFERSON AVENUE,,NEWPORT NEWS,23602,VA,UNITED STATES,US,FERGUSON_M
783183,FUJITSU NETWORK COMMUNICATIONS INC,2801 TELECOM PKY,RICHARDSON TX 75082,RICHARDSON,75082,TX,UNITED STATES,US,FUJITSU_M
1000575922,HP INC,1209 ORANGE STREET,,WILMINGTON,19801,DE,UNITED STATES,US,HP_M
INFINERA CORP_M,INFINERA CORPORATION MASTER,140 CASPIAN COURT,,SUNNYVALE,94089,CA,UNITED STATES,US,
1000556338,INFINERA CORPORATION,140 CASPIAN COURT,,SUNNYVALE,94089,CA,UNITED STATES,US,INFINERA CORP_M
INNOVAIRRE GLOBAL_M,INNOVAIRRE GLOBAL MASTER,2 EXECTIVE CAMPUS # 200,,CHERRY HILL,8002,NJ,UNITED STATES,US,
1000479128,INNOVAIRRE GLOBAL,2 EXECTIVE CAMPUS # 200,,CHERRY HILL,8002,NJ,UNITED STATES,US,INNOVAIRRE GLOBAL_M
INTERPARFUMS_M,INTERPARFUMS USA MASTER,551 5TH AVENUE SUITE 155,,NEW YORK,10176,NY,UNITED STATES,US,
1000657116,INTERPARFUMS USA LLC,551 5TH AVENUE SUITE 155,,NEW YORK,10176,NY,UNITED STATES,US,INTERPARFUMS_M
INTIRION CORPORATION_M,INTIRION CORPORATION MASTER,2 ANNETTE RD,SUITE3,FOXBORO,2035,MA,UNITED STATES,US,
1000445608,INTIRION CORPORATION,2 ANNETTE RD,SUITE3,FOXBORO,2035,MA,UNITED STATES,US,INTIRION CORPORATION_M
JABIL_M,JABIL MASTER,6375 SAN IGNACIO AVE,,SAN JOSE,95119,CA,UNITED STATES,US,
1000167768,JABIL CIRCUIT DE CHIHUAHUA S DE RL,"COMPLEJO INDUSTRIAL CHIHUAHUA,","CHIHUAHUA,CHIHUAHUA",CHIHUAHUA,CHH 31136,.,MEXICO,MX,JABIL_M
1000664158,JABIL INC,6375 SAN IGNACIO AVE,,SAN JOSE,95119,CA,UNITED STATES,US,JABIL_M
KLA_M,KLA MASTER,41707 CHRISTY ST,,FREMONT,94538,CA,UNITED STATES,US,
1000513485,KLA,41707 CHRISTY ST,,FREMONT,94538,CA,UNITED STATES,US,KLA_M
LL FLOORING_M,LL FLOORING SERVICES MASTER,4901 BAKERS MILL LN,,RICHMOND,23230,VA,UNITED STATES,US,
1000514504,"LL FLOORING SERVICES, LLC",4901 BAKERS MILL LN,,RICHMOND,23230,VA,UNITED STATES,US,LL FLOORING_M
1000461659,LOCKHEED MARTIN SPACE,1111 LOCKHEED MARTIN WAY,,SUNNYVALE,94089,CA,UNITED STATES,US,LOCKHEED_M
MICROSOFT_M,MICROSOFT IRELAND OPERATIONS MASTER,ONE MICROSOFT PLACE,SOUTH COUNTY BUSINESS PARK,DUBLIN,D18 P521,.,IRELAND,IE,
1000549257,MICROSOFT IRELAND OPERATIONS,ONE MICROSOFT PLACE,SOUTH COUNTY BUSINESS PARK,DUBLIN,D18 P521,.,IRELAND,IE,MICROSOFT_M
MORPHE_M,MORPHE MASTER,22 FOURTH STREET 4TH FLOOR,,SAN FRANCISCO,94103,CA,UNITED STATES,US,
1000415516,MORPHE LLC,22 FOURTH STREET 4TH FLOOR,,SAN FRANCISCO,94103,CA,UNITED STATES,US,MORPHE_M
MOTOROLA_M,MOTOROLA SOLUTIONS MASTER,2520 GALVIN DR,,ELGIN,60124,IL,UNITED STATES,US,
1000350493,MOTOROLA SOLUTIONS,2520 GALVIN DR,,ELGIN,60124,IL,UNITED STATES,US,MOTOROLA_M
MUNCHKIN_M,MUNCHKIN MASTER,27334 SAN BERNARDINO AVE,,REDLANDS,92374,CA,UNITED STATES,US,
1000514552,MUNCHKIN INC,27334 SAN BERNARDINO AVE,,REDLANDS,92374,CA,UNITED STATES,US,MUNCHKIN_M
OLD TIME POTTERY_M,OLD TIME POTTERY MASTER,480 RIVER ROCK BLVD,,MURFREESBORO,37128,TN,UNITED STATES,US,
1000530601,"OLD TIME POTTERY ""POST PETITION""",480 RIVER ROCK BLVD,,MURFREESBORO,37128,TN,UNITED STATES,US,OLD TIME POTTERY_M
SANDVIK_M,SANDVIK SMC LOGISTICS MASTER,877 WEST CROSSROADS PARKWAY,,ROMEOVILLE,60446,IL,UNITED STATES,US,
1000393045,SANDVIK SMC LOGISTIC LTD,877 WEST CROSSROADS PARKWAY,,ROMEOVILLE,60446,IL,UNITED STATES,US,SANDVIK_M
1000655341,SANDVIK SMC LOGISTICS LTD,877 WEST CROSSROADS PARKWAY,,ROMEOVILLE,60446,IL,UNITED STATES,US,SANDVIK_M
SCHNEIDER_M,SCHNEIDER ELECTRIC MASTER,1 BOSTON PL STE 2700,,BOSTON,2108,MA,UNITED STATES,US,
1000641721,SCHNEIDER ELECTRIC,1 BOSTON PL STE 2700,,BOSTON,2108,MA,UNITED STATES,US,SCHNEIDER_M
STARBUCKS_M,STARBUCKS - EXPEDITORS MASTER,INTERNATIONAL,26 CENTURY BLVD SUITE 702,NASHVILLE,37214,TN,UNITED STATES,US,
1000587751,STARBUCKS - EXPEDITORS,INTERNATIONAL,19119 16TH AVE SOUTH,SEATAC,98188,WA,UNITED STATES,US,STARBUCKS_M
1000679406,STARBUCKS - EXPEDITORS,INTERNATIONAL,26 CENTURY BLVD SUITE 702,NASHVILLE,37214,TN,UNITED STATES,US,STARBUCKS_M
1000652963,ULTIUM CELLS LLC,301 DONALD F EPHLIN PKWY,,SPRING HILL,37174,TN,UNITED STATES,US,GENERALMOTORS_M
1000640163,ULTIUM CELLS LLC,7400 TOD AVE. SW,ULTIUM DIRECT MATERIALS BILLING,WARREN,44481,OH,UNITED STATES,US,GENERALMOTORS_M
URBAN OUTFITTERS_U,URBAN OUTFITTERS,5000 SOUTH BROAD ST,,PHILADELPHIA,19112,PA,UNITED STATES,US,
1000513906,URBAN OUTFITTERS,5000 SOUTH BROAD ST,,PHILADELPHIA,19112,PA,UNITED STATES,US,URBAN OUTFITTERS_M
VALARIS_M,VALARIS LIMITED MASTER,5847 SAN FELIPE ST,,HOUSTON,77057,TX,UNITED STATES,US,
1000594441,VALARIS LIMITED,5847 SAN FELIPE ST,,HOUSTON,77057,TX,UNITED STATES,US,VALARIS_M
WILLIAMS SONOMA_M,WILLIAMS SONOMA MASTER,3250 VAN NESS AVENUE,,SAN FRANCISCO,94109,CA,UNITED STATES,US,
1000599551,"WILLIAMS SONOMA, INC",3250 VAN NESS AVENUE,,SAN FRANCISCO,94109,CA,UNITED STATES,US,WILLIAMS SONOMA_M
YOKOHAMA_M,YOKOHAMA MASTER,"201 EDGEWATER DRIVE,SUITE 285",,WAKEFIELD,1880,MA,UNITED STATES,US,
1000651337,YOKOHAMA OFF-HIGHWAY TIRES AMERICA INC,"201 EDGEWATER DRIVE,SUITE 285",,WAKEFIELD,1880,MA,UNITED STATES,US,YOKOHAMA_M
